region	FR	FR	FR	FR	FR	FR	FR	FR	FR	FR	FR	FR	FR	FR	FR	FR	FR	UK, Norway, Switzerland	UK, Norway, Switzerland	UK, Norway, Switzerland	UK, Norway, Switzerland	UK, Norway, Switzerland	UK, Norway, Switzerland	UK, Norway, Switzerland	UK, Norway, Switzerland	UK, Norway, Switzerland	UK, Norway, Switzerland	UK, Norway, Switzerland	UK, Norway, Switzerland	UK, Norway, Switzerland	UK, Norway, Switzerland	UK, Norway, Switzerland	UK, Norway, Switzerland	UK, Norway, Switzerland	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	Asia, Row Europe	Asia, Row Europe	Asia, Row Europe	Asia, Row Europe	Asia, Row Europe	Asia, Row Europe	Asia, Row Europe	Asia, Row Europe	Asia, Row Europe	Asia, Row Europe	Asia, Row Europe	Asia, Row Europe	Asia, Row Europe	Asia, Row Europe	Asia, Row Europe	Asia, Row Europe	Asia, Row Europe	China, RoW Asia and Pacific	China, RoW Asia and Pacific	China, RoW Asia and Pacific	China, RoW Asia and Pacific	China, RoW Asia and Pacific	China, RoW Asia and Pacific	China, RoW Asia and Pacific	China, RoW Asia and Pacific	China, RoW Asia and Pacific	China, RoW Asia and Pacific	China, RoW Asia and Pacific	China, RoW Asia and Pacific	China, RoW Asia and Pacific	China, RoW Asia and Pacific	China, RoW Asia and Pacific	China, RoW Asia and Pacific	China, RoW Asia and Pacific	RoW America,Turkey, Taïwan	RoW America,Turkey, Taïwan	RoW America,Turkey, Taïwan	RoW America,Turkey, Taïwan	RoW America,Turkey, Taïwan	RoW America,Turkey, Taïwan	RoW America,Turkey, Taïwan	RoW America,Turkey, Taïwan	RoW America,Turkey, Taïwan	RoW America,Turkey, Taïwan	RoW America,Turkey, Taïwan	RoW America,Turkey, Taïwan	RoW America,Turkey, Taïwan	RoW America,Turkey, Taïwan	RoW America,Turkey, Taïwan	RoW America,Turkey, Taïwan	RoW America,Turkey, Taïwan	RoW Middle East, Australia	RoW Middle East, Australia	RoW Middle East, Australia	RoW Middle East, Australia	RoW Middle East, Australia	RoW Middle East, Australia	RoW Middle East, Australia	RoW Middle East, Australia	RoW Middle East, Australia	RoW Middle East, Australia	RoW Middle East, Australia	RoW Middle East, Australia	RoW Middle East, Australia	RoW Middle East, Australia	RoW Middle East, Australia	RoW Middle East, Australia	RoW Middle East, Australia	Brazil, Mexico	Brazil, Mexico	Brazil, Mexico	Brazil, Mexico	Brazil, Mexico	Brazil, Mexico	Brazil, Mexico	Brazil, Mexico	Brazil, Mexico	Brazil, Mexico	Brazil, Mexico	Brazil, Mexico	Brazil, Mexico	Brazil, Mexico	Brazil, Mexico	Brazil, Mexico	Brazil, Mexico	South Africa	South Africa	South Africa	South Africa	South Africa	South Africa	South Africa	South Africa	South Africa	South Africa	South Africa	South Africa	South Africa	South Africa	South Africa	South Africa	South Africa	Japan, Indonesia, RoW Africa	Japan, Indonesia, RoW Africa	Japan, Indonesia, RoW Africa	Japan, Indonesia, RoW Africa	Japan, Indonesia, RoW Africa	Japan, Indonesia, RoW Africa	Japan, Indonesia, RoW Africa	Japan, Indonesia, RoW Africa	Japan, Indonesia, RoW Africa	Japan, Indonesia, RoW Africa	Japan, Indonesia, RoW Africa	Japan, Indonesia, RoW Africa	Japan, Indonesia, RoW Africa	Japan, Indonesia, RoW Africa	Japan, Indonesia, RoW Africa	Japan, Indonesia, RoW Africa	Japan, Indonesia, RoW Africa	EU	EU	EU	EU	EU	EU	EU	EU	EU	EU	EU	EU	EU	EU	EU	EU	EU
sector	Agriculture	Crude coal	Crude oil	Natural gas	Extractive industry	Biomass_industry	Clothing	Heavy_industry	Construction	Automobile	Oth transport equipment	Machinery	Electronics	Fossil fuels	Electricity and heat	Transport services	Composite	Agriculture	Crude coal	Crude oil	Natural gas	Extractive industry	Biomass_industry	Clothing	Heavy_industry	Construction	Automobile	Oth transport equipment	Machinery	Electronics	Fossil fuels	Electricity and heat	Transport services	Composite	Agriculture	Crude coal	Crude oil	Natural gas	Extractive industry	Biomass_industry	Clothing	Heavy_industry	Construction	Automobile	Oth transport equipment	Machinery	Electronics	Fossil fuels	Electricity and heat	Transport services	Composite	Agriculture	Crude coal	Crude oil	Natural gas	Extractive industry	Biomass_industry	Clothing	Heavy_industry	Construction	Automobile	Oth transport equipment	Machinery	Electronics	Fossil fuels	Electricity and heat	Transport services	Composite	Agriculture	Crude coal	Crude oil	Natural gas	Extractive industry	Biomass_industry	Clothing	Heavy_industry	Construction	Automobile	Oth transport equipment	Machinery	Electronics	Fossil fuels	Electricity and heat	Transport services	Composite	Agriculture	Crude coal	Crude oil	Natural gas	Extractive industry	Biomass_industry	Clothing	Heavy_industry	Construction	Automobile	Oth transport equipment	Machinery	Electronics	Fossil fuels	Electricity and heat	Transport services	Composite	Agriculture	Crude coal	Crude oil	Natural gas	Extractive industry	Biomass_industry	Clothing	Heavy_industry	Construction	Automobile	Oth transport equipment	Machinery	Electronics	Fossil fuels	Electricity and heat	Transport services	Composite	Agriculture	Crude coal	Crude oil	Natural gas	Extractive industry	Biomass_industry	Clothing	Heavy_industry	Construction	Automobile	Oth transport equipment	Machinery	Electronics	Fossil fuels	Electricity and heat	Transport services	Composite	Agriculture	Crude coal	Crude oil	Natural gas	Extractive industry	Biomass_industry	Clothing	Heavy_industry	Construction	Automobile	Oth transport equipment	Machinery	Electronics	Fossil fuels	Electricity and heat	Transport services	Composite	Agriculture	Crude coal	Crude oil	Natural gas	Extractive industry	Biomass_industry	Clothing	Heavy_industry	Construction	Automobile	Oth transport equipment	Machinery	Electronics	Fossil fuels	Electricity and heat	Transport services	Composite	Agriculture	Crude coal	Crude oil	Natural gas	Extractive industry	Biomass_industry	Clothing	Heavy_industry	Construction	Automobile	Oth transport equipment	Machinery	Electronics	Fossil fuels	Electricity and heat	Transport services	Composite
stressor																																																																																																																																																																																											
CO2	11.4743908561	0.576314472753	0.281034643695	11.9114638374	0.876471975588	9.67134119597	0.530171698809	34.4542394108	2.32677416926	0.831259280472	0.618708761642	3.03708732799	1.01240094083	10.2624273359	23.031583942	71.4236489286	50.5951765151	8.68707697826	0.595083917089	13.1338640879	24.3206430549	1.32780367722	9.50839435463	1.5665691417	29.2043214295	5.48216823943	1.92674585053	1.70031519576	4.7535551267	1.85164107048	15.2460900825	100.688580288	117.405783847	65.8772190941	110.39791946	15.5677036735	52.7537805734	189.946805373	22.7415769888	163.098629724	16.2957944929	255.691721714	27.8194550211	27.611013028	23.4754933072	21.6277156208	10.7926735185	159.801221288	1807.6389942	411.019473221	315.631547309	93.6948833667	204.010566923	31.2361593709	229.765876045	45.960942197	59.1158705609	15.3352654248	691.805061771	30.5902516817	12.4950776146	20.0890084926	39.2813193809	5.58962427849	174.274572704	1777.71187228	229.852962751	369.56138737	224.216904522	105.052417655	78.81520281	231.970095236	149.148246629	217.92770081	83.6465135314	3543.24441805	79.4762993088	21.1176376362	10.5537509364	66.9527591621	22.4148143481	344.403767074	4720.89269034	421.289181091	719.116822647	83.5020832528	7.21737464468	121.268488769	62.4579654436	55.7445980628	77.516890724	25.1096057638	243.846421353	25.7061096135	5.18780282324	2.06120262903	25.5420213768	5.34323516033	76.3078267727	496.017833725	158.618396507	184.956295504	31.0586639092	7.85171290409	110.279951684	85.2688859532	65.5840786487	53.9270450535	125.457827544	254.078667424	60.7304695125	1.45947889433	2.40831855357	13.5030548962	2.98655382846	74.5975701471	824.233409716	143.894567332	346.078062581	49.3500463493	1.55014843024	32.3164291031	45.174455434	24.5512354372	28.1550846809	7.23894292477	204.545971244	6.56397547294	7.1167970061	2.15618550635	4.10499525482	2.93911545098	56.7687965058	194.486098827	52.9317340895	53.7749188512	11.8315390373	10.8004117101	0.311868090369	0.729143359331	5.25756079788	15.1472933561	2.95582621182	30.4738029538	0.813691926988	0.320359486326	0.215789280565	1.40512528591	0.152668579531	2.55629351866	235.98688157	7.33599457588	17.4760052477	31.9139056238	68.8398329796	24.5257217983	59.2946495509	42.8788805562	46.238230235	31.7489862194	304.438953627	32.778870271	6.10017005013	0.745236838866	7.2250925446	16.3130154232	94.418572708	748.733992753	169.891248178	210.626733524	64.6913966043	14.6372037511	8.35299763539	85.1186746696	25.7796061889	57.3626974759	7.31494977644	292.888445775	115.876944829	5.92148339769	11.8325119943	53.5046286157	10.1561631608	117.358786024	720.778115435	345.983551691	408.635804523
CH4	48.5657952365	0.000123292673546	3.51586589213	1.09067737966	0.00225016612375	0.31848679538	0.00763662880855	0.17906890828	0.012197679714	0.0066996198396	0.00771837102549	0.0128460867113	0.00459358295591	0.0928469232079	0.0972247186771	0.0377046674454	19.1337575057	36.6476733305	1.00812595743	19.7604990456	3.19002135655	0.00650448795036	0.0661202809456	0.00855088680164	0.198148398964	0.582176344882	0.00565539334541	0.0588676177593	0.587110992608	0.177085855019	0.511254915316	0.159185684283	0.645183950558	80.2363687241	214.073873606	52.3389759095	115.197606265	98.6540894848	0.430073879774	0.510633365312	0.0288467261728	2.11916027314	0.000507455154875	0.0542810106479	0.0286546768273	0.0753412097025	0.0384044632489	36.9053208683	2.45120032792	0.267191514424	137.764886116	636.410732246	156.952266395	183.403983169	83.7179200619	1.71382468111	9.03117187483	0.833454715621	7.2025673675	0.573495775132	0.19354441308	0.108542669909	0.836507178122	0.0861442249747	10.9405275695	4.56774963604	2.47661581	444.033469397	933.314302248	632.128941992	146.960533165	141.942574507	3.47506896287	46.1923720083	2.00915271733	51.6027323655	1.93831837317	1.18924626111	0.349186677496	6.97720828388	0.579662800675	44.4627910819	14.6954088608	2.48964322295	506.698373376	333.333106969	19.4039105929	153.971258899	48.5334893674	1.26256138126	22.4172913182	0.586564692018	6.84401337356	0.553654433893	0.0301910875592	0.0206251140549	0.990126191764	0.0127429033083	5.10472181723	5.1954316284	0.807920196732	191.017435841	139.006186718	101.006196922	387.310814296	49.8541229347	2.15583807339	4.17691893555	0.636283571172	24.8354493666	2.26449587599	0.0160155030426	0.0237679658022	2.29835465454	0.050872284862	31.301232648	1.7423425102	1.00709676302	148.294949203	405.039526599	14.5220106798	45.1289471342	16.1475863529	0.215783332986	38.3771190227	0.0914967125681	1.73470971966	0.256240664554	0.019223704989	0.00393346085221	0.0361745405271	0.0134662798322	2.18927222964	1.49401516934	0.144624656381	163.758488424	18.5942986888	36.6178641188	0.000840525437274	0.759930809435	0.0993473167526	0.0557716189979	0.00564245516412	0.122228941415	0.00352664447438	0.0011340398278	0.000295381878056	0.010435537766	0.000774685417424	0.0566907644486	0.127876710252	0.00478027480721	20.1399152159	638.923403884	147.809926012	171.684340915	63.1760107907	10.5249301843	65.8088848049	3.11830235154	28.3188033431	5.8376478225	1.09230084833	1.01133346825	12.5480479282	0.520745041686	28.3463843929	11.297855108	8.32168271653	403.859776852	193.223372577	22.2123139214	22.7116307255	22.4340284679	0.496043330182	1.60455350312	0.105586423926	10.4334370868	6.79347339735	0.161649074994	0.0417337867454	1.5409402529	0.174699144147	7.00385839482	7.78117113201	1.59344812408	175.670227411
N2O	29.9976687594	0.00372032398879	0.00434780053392	0.00585172754045	0.00552894285964	0.424796616862	0.000572459776283	0.128318173193	0.00604353496815	0.00482699222614	0.00351632329544	0.027421780304	0.00913855450311	0.0184544929567	0.0847506358069	0.92084291206	0.403402989219	24.9782641109	0.00596275694707	0.00844460974481	0.0113524660141	0.00590129809525	0.0601847473185	0.0032391346422	0.0645772721655	0.0193710802854	0.0056439697222	0.00538748571791	0.0153836624221	0.0111101421129	0.0206040528873	0.905245266829	0.673259562351	0.88438856527	160.056577478	0.0865745096637	0.0537307124417	1.02727519862	0.106887331919	4.84889842878	0.217087027963	0.98856271569	0.00331064019823	0.332631506928	0.376317053985	0.187849659785	0.095503019118	0.613044197905	15.1967830569	8.6574607588	2.85229101992	258.063576443	1.83590881965	0.441774004472	0.347779307829	0.332511358136	3.44649628819	0.350810249101	3.18298410604	0.384619937525	0.129947495546	0.0813197787327	0.265653016016	0.0329296998797	0.98868587956	12.5509278342	1.83966125675	3.60914324714	497.551428522	0.924936568959	0.188270479473	0.36700114449	0.720775585074	17.3083691451	0.751791615243	15.7373142237	0.937827181869	0.14617110284	0.0454110153663	0.464528656927	0.173622037108	2.2011768126	38.8574243939	3.04359854344	9.17138449068	155.794049453	0.0759143188679	0.228800231861	0.278551491627	0.387046252571	12.3742679448	0.267247252761	2.67311352839	0.383932152569	0.0206517658409	0.0109901062468	0.130590878114	0.0314497730657	0.609799532517	3.00269939211	2.45030921039	6.13837673211	90.7097320332	0.0818653337783	0.14309843802	0.102668510357	0.262081323874	2.9096092855	0.0950815660571	3.01185895429	0.578177717946	0.00649101521146	0.0368393388897	0.0611361424636	0.0381634804937	0.168789253059	2.16776456927	1.87438521807	5.87271670536	157.992722647	0.00638495246932	0.0482174423013	0.0179033552735	0.215886997204	15.4838678376	0.0515814423187	2.29441707798	0.513563475324	0.0655042566315	0.0276319933583	0.031363012305	0.0147233341023	0.279335923249	0.81266708244	0.693203764628	0.477288265176	12.4890528855	0.0607075523376	0.000901910542365	0.00563608652877	0.016979123722	0.174660922308	0.0163830064786	0.0611774517431	0.0325943154674	0.00174009627385	0.00202999939972	0.00667288425378	0.000653194999141	0.00388346937991	1.33301760715	0.104617368357	0.0960207699387	334.925642005	0.652170368353	0.198392414947	1.02532203607	0.580518115073	35.2077599217	1.19655765261	4.61842617987	2.79230631589	0.135603158902	0.136300822422	0.575155010378	0.205156786482	0.650591135887	5.8341143078	1.92148953544	23.3139839856	125.130253029	0.173795359021	0.10341835702	0.215374118186	0.235303810338	1.90829312457	0.0285378304139	0.714056759161	0.876594181119	0.0732149462411	0.0570611122676	0.313555800457	0.0904271833832	0.142816069221	7.89552523031	1.85875347013	4.07414082392
SF6	0.0807736647241	0.000107859705285	0.000193797671237	0.000487108121552	0.107491078343	0.0345594569876	0.00043384953334	0.0279575751204	0	0	0	0.00220295781427	0.000693998884173	0.0193058732074	0	0	0.162892779887	0.16079506764	0.0199469678384	0.112348370204	0.124263373227	0.114647427948	0.549804518944	0.00168985901969	0.111656280317	0.0151636282123	0.00898373096844	0.00463700272482	0.0256105609429	0.00414159289203	0.0931025665881	7.93672965659e-05	0.018499025675	1.57918065956	0.61617035097	0.503406492717	0.0524717417392	0.181567449757	0.962190054191	0.152617548679	0.000122108187689	0.982162950046	0	6.66206389776e-05	4.50051492215e-05	0.0220609524197	0.000813571172386	0.350131444735	0	0	13.9891737096	0.917536791545	0.702841589319	0.679780634526	1.67798607304	3.12475093254	0.311994713671	0.00738882702555	2.72807119744	0.0341583760629	0.00318402107175	0.00272429345526	0.0533978637767	0.0022563395097	0.997203324619	0.0293869918617	0.0353491625825	5.34187716545	1.85548333656	1.04422179972	0.103474916564	0.05448002109	5.44555020284	0.45383623745	0.0032600402306	5.1769831317	0.00200695841156	0.000544692006039	7.1849247298e-05	0.118758900354	0.0382405631886	0.538443664713	0.0278018753639	0.000550814240181	7.96027354635	0.612042775284	0.0772986039091	0.179022224191	0.367077830384	3.11779076429	0.147567454979	0.000248765035087	0.710625369282	0.000123527426888	0.00819671364677	7.50182658223e-05	0.0110321481753	0.00121176478342	0.650048954461	0.0377064916003	0.0116769155033	0.973233828772	0.211277600355	0.0305395349261	0.0040124483026	0.00242247931226	0.344867482746	0.0214608306581	0.000168652003066	0.211070410303	0.00435259567952	0.000122768382203	3.8696494281e-05	0.0039705443668	0.000463660664717	0.0338501479778	0.00483567239306	0.0017272439968	1.05337023144	0.0577501848758	0.000409680200433	0.00451802578903	0.00193055621582	0.0328735940317	0.0172554226144	4.72690112781e-05	0.0181807992727	0.00161129098714	0.000589201087896	3.13260111454e-05	0.00232845462689	0.00276810360731	0.00961575417384	3.10446161445e-05	2.00225620938e-07	0.134174092653	0.0362700556007	0.0890225357782	0.00196676068601	0.00107949351436	0.102191293421	0.00948670902629	3.76623422329e-05	0.123651151662	0.000249428946043	8.29313480537e-05	2.20136664337e-05	0.00121332468193	0.000127195221648	0.013774205935	0	0	0.0602752381708	0.303093677889	0.223414554901	0.00735523619352	0.0227444242376	0.888439139545	0.176333736579	0.00132974174774	1.74178087223	0.00332929190041	0.000924946374127	0.000194054713741	0.0344022860342	0.00918768663458	0.301075064261	0.0379657475966	0.0019303613592	1.8230491778	4.71016558716	3.88261440219	0.0427819388138	0.533587572753	5.01949073066	1.95005557097	0.0603363001905	9.75330005418	0.523008007696	0.0517856811563	0.0114887707154	0.304005492972	0.0275812110529	1.3580779256	0.0890103206446	0.0785102012288	11.9050153144
HFC	4.31240932213	0.0057767306672	0.0117386852324	0.0249998925751	5.60996495421	1.8171407105	0.0229207494804	2.71788046589	0	0	0	0.113521550409	0.0358292230091	1.01758463012	0	0	5.81023308576	1.4478312208	0.130872857434	0.727612464915	0.659139931073	0.868954322445	4.49688362473	0.0163574470688	0.995255043111	0.103145408808	0.0501198254365	0.0253888329714	0.129295899203	0.0259711999466	0.66084825628	0.00065464326437	0.125692047594	5.70097697491	12.4120024989	9.46866922915	1.21323986956	4.08366405491	19.0854617012	2.88858172549	0.00230860718057	11.4028658694	0	0.00126794369051	0.000819363307366	0.306059231489	0.0147233460332	7.04427003373	0	0	251.076066526	4.2725367079	2.14405093776	2.25742416477	5.51710261559	7.02845580747	1.47414856787	0.571249569163	57.9535593517	0.124888152101	0.0205600347728	0.0188841787096	0.333369288365	0.0231810976498	3.52259777743	0.184814755165	0.187007716516	15.6624452771	1.22188378535	0.737670129259	0.0621158971661	0.124456404193	3.72192561934	0.4872658556	0.0241614554717	240.859996808	0.0148559562688	0.00408338044954	0.000545051190204	0.0876870390581	0.0342388674403	1.52756449599	0.0554901690885	0.00409495905738	9.02366412715	9.42531438497	1.21189780832	1.9152842396	4.3166295158	8.03189302928	2.05822506911	0.0157341037854	21.5508057333	0.00971937253033	0.0173137992988	0.000804896733911	0.161596167253	0.0492842304944	2.65672581965	0.44432649633	0.140783810743	32.7807905228	1.18285075145	0.2534693845	0.0327915409979	0.0230375365412	1.71235708771	0.147311397106	0.000702828139918	0.946817962609	0.344462612792	0.000228731396257	0.000142051446982	0.0106499073221	0.000979034398241	0.166766636592	0.0258084303813	0.00818013459458	14.249443972	1.59143492337	0.00829141415432	0.113339294241	0.038978627539	0.778178230063	0.444174511565	0.00244663590668	9.3119586543	0.0237791244567	0.0025913490611	0.000103377962187	0.081167624521	0.110801968318	0.299083003839	0.00536909632439	3.00177706238e-06	2.03829916261	0.175426310928	0.328548089641	0.00891197946981	0.00579643268665	0.37610166639	0.030492207026	0.000167549604036	0.0675099325678	0.0011942921571	0.00042752406836	0.000108730792647	0.0038592999603	0.000318092396864	0.0274711603029	0	0	0.443666732008	5.86775917205	0.227812189644	0.0237326577191	0.550419618552	33.0500360179	6.36252229902	0.0014703069044	14.4141487322	0.00360765807589	0.000969913280814	0.00020150894768	1.60016519887	0.384012058918	9.76855613122	1.19233366387	0.00206292143976	31.3134959514	11.8630457757	2.72906319999	0.22180521654	1.31933416631	18.1891778813	6.4947438056	0.253490629693	11.234757473	0.736578685093	0.0673573441184	0.0132198818587	1.49284257766	0.18778391876	4.5583177421	0.272061060819	0.229116369566	25.6395042719
PFC	0.0249778429572	3.69884061735e-05	9.98352483566e-05	0.000198011152672	0.0322455931852	0.0107202701921	0.000124964202405	0.113690649484	0	0	0	0.000618086344148	0.000216365244722	0.00543797074666	0	0	0.0466334228362	0.0105761358799	0.000832264475498	0.00427872394087	0.00758234571142	0.0137464787363	0.040858179369	9.54483573388e-05	1.0853183146	0.00102199527713	0.00441014442591	0.00166101956851	0.00711115068838	0.000599707826723	0.00493481324748	1.42753997647e-05	0.00119503979692	0.057163962703	0.0895820473009	0.0671538794259	0.0115283184961	0.0381368469748	0.152916551745	0.0219608100535	0.000652879284999	2.17116855912	0	8.42563828088e-06	5.19766033871e-06	0.0019149339182	9.69886866756e-05	0.0623749470573	0	0	1.65249961464	0.0959986014833	0.0455071851632	0.032281606095	0.0877727321042	0.599765017293	0.0648074249639	0.000810965710477	22.7820341792	0.00226235912855	0.00509858004592	0.0070188238861	0.140079093911	0.0019506281509	0.173440175691	0.0701086951743	0.0149939910864	1.09131507084	0.241217127721	0.140103931897	0.012794451332	0.0173585363449	0.707575263277	0.0886380959078	0.00372365046677	13.097359136	0.00187035278616	0.00108448001124	6.9302279037e-05	0.017929160837	0.00712782872653	0.0946086734669	0.0101937082362	0.000514771521984	1.50383152914	0.00318686628338	0.000396421920733	0.00106594543645	0.0147930096211	3.19416193714	0.012777093035	4.20186889254e-05	4.47298034162	0.000445075887122	0.00584949113395	0.00095018920127	0.0118975220571	6.89690487785e-06	0.585773144365	0.000660610855309	0.000404917139177	0.0434605187042	0.0633352836158	0.0118535686205	0.00117610928553	0.00259439742818	0.0922949650137	0.00685940880168	4.26618708383e-05	2.79989508796	0.00217976818273	0.000492369476832	9.36083653912e-06	0.00489320994856	0.000208026583476	0.0310097440418	0.00418056191346	0.000781071574279	0.382294404841	3.87589078903e-05	1.38510341263e-07	2.67472630927e-06	4.39912738186e-07	0.000471724989791	1.03769406799e-05	1.97989701794e-08	2.31237162954	0.000128974965089	0.000386908271327	1.15982846934e-10	0.0149595790114	0.000388985904673	3.79973477109e-06	0	0	0.0612359886688	0	0	0	0	0	0	0	1.10977079552	0	0	0	0.00127556478968	0	0	0	0	0.0189536396916	0.260091334291	0.000361773020672	0.00105001525942	0.0406370435596	1.56249491387	0.284969442193	0.000327785692451	1.17625868147	3.3824945437e-05	0.000431725095059	1.95244291975e-07	0.0753841684874	0.0194149320046	0.598586086371	0.0507865047821	3.21741160395e-08	1.35841254154	2.57552063132	0.0223898656699	0.0119240534637	0.0867274262394	6.88411053441	1.64830218745	0.0768424258851	9.99936908451	0.329650091693	0.00558719555914	0.00414242829844	0.221723145681	0.0578686539439	0.693527045738	0.0535482593694	0.125706357423	5.54815441334
